name,description,url,downloads,owners,owners_urls
FATS,Library with compilation of features for time series,https://pypi.org/project/FATS/,86604,isadoranun,https://pypi.org/user/isadoranun/
csvbar,Draw bar graphs from CSV files in the terminal.,https://pypi.org/project/csvbar/,29822,maxharlow,https://pypi.org/user/maxharlow/
Connor,Command-line tool to deduplicate reads in bam files based on custom inline barcoding.,https://pypi.org/project/Connor/,24889,bfx-jacquard,https://pypi.org/user/bfx-jacquard/
neurodatapub,NeuroDataPub: Tool built for publication of BIDS datasets of the NCCR-Synapsy,https://pypi.org/project/neurodatapub/,1350,tourbier,https://pypi.org/user/tourbier/
gdal2mbtiles,Converts a GDAL-readable dataset into an MBTiles file.This is used to generate web maps.,https://pypi.org/project/gdal2mbtiles/,44544,"chewthemonkey,ecometrica","https://pypi.org/user/chewthemonkey/,https://pypi.org/user/ecometrica/"
entente,Polygonal meshes in vertex-wise correspondence,https://pypi.org/project/entente/,44481,"jbeard4,paulmelnikow","https://pypi.org/user/jbeard4/,https://pypi.org/user/paulmelnikow/"
Pytzer,Pitzer model for chemical activities in aqueous solutions,https://pypi.org/project/Pytzer/,135022,mvdh,https://pypi.org/user/mvdh/
snakewrap,Snakemake Wrapper for NGS Pipelines,https://pypi.org/project/snakewrap/,2353,rekm,https://pypi.org/user/rekm/
ThorlabsPM100,Interface to the PM100A/D power meter from Thorlabs.,https://pypi.org/project/ThorlabsPM100/,46088,clade,https://pypi.org/user/clade/
region-grow,Creates a new polygon locally given a set of points using a region grow algorithm approach and a satellite image in GeoTIFF format. The polygon output format is ESRI Shapefile,https://pypi.org/project/region-grow/,4246,ggonzr,https://pypi.org/user/ggonzr/
ImagingReso,tool for resonance neutron imaging,https://pypi.org/project/ImagingReso/,225256,"bidochon78,zhangy6x","https://pypi.org/user/bidochon78/,https://pypi.org/user/zhangy6x/"
fringez,Removing atmospheric fringes from ZTF i-band images,https://pypi.org/project/fringez/,41630,MichaelMedford,https://pypi.org/user/MichaelMedford/
collective.geo.openlayers,openlayers support for Plone,https://pypi.org/project/collective.geo.openlayers/,57864,"collective,giorgio,maethu","https://pypi.org/user/collective/,https://pypi.org/user/giorgio/,https://pypi.org/user/maethu/"
vg,Linear algebra for humans: a very good vector-geometry and linear-algebra toolbelt,https://pypi.org/project/vg/,81758,"jbeard4,paulmelnikow","https://pypi.org/user/jbeard4/,https://pypi.org/user/paulmelnikow/"
sc2players,A suystem of managing Starcraft 2 player profiles.,https://pypi.org/project/sc2players/,24408,versentiedge,https://pypi.org/user/versentiedge/
fb8,"Implementation of FB8, a generalization of the Kent (1982) and Bingham-Mardia (1978) distributions on a sphere",https://pypi.org/project/fb8/,16108,tianlu,https://pypi.org/user/tianlu/
mnnpy,Mutual nearest neighbors correction in python.,https://pypi.org/project/mnnpy/,33230,chriscainx,https://pypi.org/user/chriscainx/
cell2cell,TBD,https://pypi.org/project/cell2cell/,12619,earmingol,https://pypi.org/user/earmingol/
pandas-alchemy,"SQL based, pandas compatible DataFrame & Series",https://pypi.org/project/pandas-alchemy/,2706,JunyuanChen,https://pypi.org/user/JunyuanChen/
yaqd-edaq,yaq daemons for edaq sensor recording systems,https://pypi.org/project/yaqd-edaq/,1814,"ksunden,untzag","https://pypi.org/user/ksunden/,https://pypi.org/user/untzag/"
pygeoutils,A set of utilities for manipulating (Geo)JSON and (Geo)TIFF data.,https://pypi.org/project/pygeoutils/,21987,tchegini,https://pypi.org/user/tchegini/
instx,QUARK,https://pypi.org/project/instx/,4360,dricetar,https://pypi.org/user/dricetar/
DeepInteract,A geometric deep learning pipeline for predicting protein interface contacts.,https://pypi.org/project/DeepInteract/,259,amorehead,https://pypi.org/user/amorehead/
smqtk,Python toolkit for pluggable algorithms and data structures for multimedia-based machine learning,https://pypi.org/project/smqtk/,16700,"kwrobot,paul.tunison","https://pypi.org/user/kwrobot/,https://pypi.org/user/paul.tunison/"
grid-control,The Swiss Army knife of job submission tools,https://pypi.org/project/grid-control/,56484,"FredStober,jolange","https://pypi.org/user/FredStober/,https://pypi.org/user/jolange/"
gnuhealth-webdav3-server,GNU Health WebDAV server for Python 3,https://pypi.org/project/gnuhealth-webdav3-server/,27051,meanmicio,https://pypi.org/user/meanmicio/
color-tools,color_tools,https://pypi.org/project/color-tools/,2142,jquiza,https://pypi.org/user/jquiza/
opensesame-plugin-audio-low-latency,An OpenSesame Plug-in for playing and recording audio files with low latency on Linux.,https://pypi.org/project/opensesame-plugin-audio-low-latency/,78562,dev-jam,https://pypi.org/user/dev-jam/
MQ2,MQ² aims at extracting and find QTLs from MapQTL output,https://pypi.org/project/MQ2/,28396,pingou,https://pypi.org/user/pingou/
mtbpy,Module for communicating with Minitab from Python scripts executed via the PYSC command.,https://pypi.org/project/mtbpy/,4250,MinitabLLC,https://pypi.org/user/MinitabLLC/
cuTWED,A linear memory CUDA Time Warp Edit Distance algorithm.,https://pypi.org/project/cuTWED/,21029,garrettwrong,https://pypi.org/user/garrettwrong/
athena-mathlab,Advanced Techniques for High dimensional parameter spaces to Enhance Numerical Analysis,https://pypi.org/project/athena-mathlab/,2351,"fromor,mtezzele","https://pypi.org/user/fromor/,https://pypi.org/user/mtezzele/"
kernel_tuner,An easy to use CUDA/OpenCL kernel tuner in Python,https://pypi.org/project/kernel_tuner/,40922,benvanwerkhoven,https://pypi.org/user/benvanwerkhoven/
nvidia-cusolver-cu112,A fake package to warn the user they are not installing the correct package.,https://pypi.org/project/nvidia-cusolver-cu112/,379,nvidia,https://pypi.org/user/nvidia/
fastcrypto,"fastcrypto 加密库, 支持aes加密解密",https://pypi.org/project/fastcrypto/,1450,ssdog,https://pypi.org/user/ssdog/
edbo,Experimental design via Bayesian optimization,https://pypi.org/project/edbo/,1324,b-shields,https://pypi.org/user/b-shields/
dEploid,dEploid CPP module,https://pypi.org/project/dEploid/,6061,shajoezhu,https://pypi.org/user/shajoezhu/
srs-cg635,Communication with SRS CG635,https://pypi.org/project/srs-cg635/,1165,ljohnston,https://pypi.org/user/ljohnston/
artlearn,Adoptive Resonance Theory in Python with scikit-learn like API.,https://pypi.org/project/artlearn/,445,ground0state,https://pypi.org/user/ground0state/
point-tracker,Track points and cells on 2D tissues over time.,https://pypi.org/project/point-tracker/,45105,PierreBdR,https://pypi.org/user/PierreBdR/
tftf,TensorFlow TransFormer,https://pypi.org/project/tftf/,83896,yusugomori,https://pypi.org/user/yusugomori/
rnasieve,A library for the statistical deconvolution of RNA bulk samples with single-cell references.,https://pypi.org/project/rnasieve/,3051,jjhong922,https://pypi.org/user/jjhong922/
skpro,Supervised learning for probabilistic prediction,https://pypi.org/project/skpro/,81476,frthjf,https://pypi.org/user/frthjf/
netomaton,"Netomaton, A Python library for working with Network Automata.",https://pypi.org/project/netomaton/,4826,lantunes,https://pypi.org/user/lantunes/
living-tree,"An efficient toolkit for constructing and processing taxonomic trees (abundance calculations, reading count statistics, etc.).",https://pypi.org/project/living-tree/,5249,AdeBC,https://pypi.org/user/AdeBC/
tensorflow-tflex,TensorFlow is an open source machine learning framework for everyone.,https://pypi.org/project/tensorflow-tflex/,11140,jie.hang,https://pypi.org/user/jie.hang/
HashedKNN,Locality-sensitive hashing to implement K nearesr neighbors fast.,https://pypi.org/project/HashedKNN/,1310,ashish244co,https://pypi.org/user/ashish244co/
anglr,Planar angle mathematics library for Python.,https://pypi.org/project/anglr/,32184,Anthony.Zhang,https://pypi.org/user/Anthony.Zhang/
pyearth,Python for Earth Science.,https://pypi.org/project/pyearth/,4258,changliao,https://pypi.org/user/changliao/
igv-reports,Creates self-contained html pages for visual variant review with IGV (igv.js).,https://pypi.org/project/igv-reports/,35265,jtrobinson2001,https://pypi.org/user/jtrobinson2001/
abagen,A toolbox for working with the Allen Brain Atlas genetic data,https://pypi.org/project/abagen/,34984,rossmarkello,https://pypi.org/user/rossmarkello/
odetoolbox,ODE-toolbox: Automatic selection and generation of integration schemes for systems of ordinary differential equations,https://pypi.org/project/odetoolbox/,11987,clinssen,https://pypi.org/user/clinssen/
vader-sentiment,"VADER Sentiment Analysis. VADER (Valence Aware Dictionary and sEntiment Reasoner) is a lexicon and rule-based sentiment analysis tool that is specifically attuned to sentiments expressed in social media, and works well on texts from other domains.",https://pypi.org/project/vader-sentiment/,15283,Holek,https://pypi.org/user/Holek/
sidpy,"Python utilities for storing, visualizing, and processing Spectroscopic and Imaging Data (SID)",https://pypi.org/project/sidpy/,31421,"rama87,ssomnath","https://pypi.org/user/rama87/,https://pypi.org/user/ssomnath/"
WriteGoodLintBear,'WriteGoodLintBear' bear for coala (http://coala.rtfd.org/),https://pypi.org/project/WriteGoodLintBear/,100070,Adrianzatreanu,https://pypi.org/user/Adrianzatreanu/
gtrxl-torch,Gated-Transformer XL - PyTorch,https://pypi.org/project/gtrxl-torch/,7782,alantessier,https://pypi.org/user/alantessier/
datafold,No project description provided,https://pypi.org/project/datafold/,17614,"danhm,feldie","https://pypi.org/user/danhm/,https://pypi.org/user/feldie/"
emukit,Toolkit for decision making under uncertainty.,https://pypi.org/project/emukit/,79856,"andrei.paleyes,apaleyes,mmahsereci","https://pypi.org/user/andrei.paleyes/,https://pypi.org/user/apaleyes/,https://pypi.org/user/mmahsereci/"
musicLegacy,Yet another music package using the MASS (Music and Audio in Sample Sequences) framework,https://pypi.org/project/musicLegacy/,3352,rfabbri,https://pypi.org/user/rfabbri/
mlens,Machine Learning Ensemble Library,https://pypi.org/project/mlens/,266040,flennerhag,https://pypi.org/user/flennerhag/
simpyple,A bunch of utilities for simpy,https://pypi.org/project/simpyple/,46141,thinkingbox,https://pypi.org/user/thinkingbox/
smac,"SMAC3, a Python implementation of 'Sequential Model-based Algorithm Configuration'.",https://pypi.org/project/smac/,500922,"benjamc,biedenka,ddeng,keggensperger,mfeurer,mlindauer,renesass","https://pypi.org/user/benjamc/,https://pypi.org/user/biedenka/,https://pypi.org/user/ddeng/,https://pypi.org/user/keggensperger/,https://pypi.org/user/mfeurer/,https://pypi.org/user/mlindauer/,https://pypi.org/user/renesass/"
pandexo.engine,No project description provided,https://pypi.org/project/pandexo.engine/,80950,natashabatalha,https://pypi.org/user/natashabatalha/
nat,Module to use the annotations created with NeuroCurator.,https://pypi.org/project/nat/,18514,"chore,pafonta","https://pypi.org/user/chore/,https://pypi.org/user/pafonta/"
armory-testbed,Adversarial Robustness Test Bed,https://pypi.org/project/armory-testbed/,20751,armory-twosix,https://pypi.org/user/armory-twosix/
qopen,Separation of intrinsic and scattering Q by envelope inversion,https://pypi.org/project/qopen/,38305,lorchel,https://pypi.org/user/lorchel/
laspy,Native Python ASPRS LAS read/write library,https://pypi.org/project/laspy/,702046,"grantbrown,hobu,kbevers,tmontaigu","https://pypi.org/user/grantbrown/,https://pypi.org/user/hobu/,https://pypi.org/user/kbevers/,https://pypi.org/user/tmontaigu/"
bibolamazi_gui,Prepare consistent BibTeX files for your LaTeX documents,https://pypi.org/project/bibolamazi_gui/,11485,phfaist,https://pypi.org/user/phfaist/
simcrf,simple and quick crf wrapper for crfsuite,https://pypi.org/project/simcrf/,15195,mithril,https://pypi.org/user/mithril/
wellmap,File format for 96-well plate layouts.,https://pypi.org/project/wellmap/,8960,kalekundert,https://pypi.org/user/kalekundert/
RTCDataTypeAdaptor,DataTypeAdaptor codes and solution generator,https://pypi.org/project/RTCDataTypeAdaptor/,11520,ysuga,https://pypi.org/user/ysuga/
deepeeg,A simple library for applying CNN / LSTM models to EEG data.,https://pypi.org/project/deepeeg/,1617,emanuel-metzenthin,https://pypi.org/user/emanuel-metzenthin/
libra_py_001_05,Split Linearized Bregman Iteration,https://pypi.org/project/libra_py_001_05/,2775,sxwxiaoxiao,https://pypi.org/user/sxwxiaoxiao/
ssl-metrics-meta,SSL Metrics - Helper Project to Install All SSL Metrics Projects,https://pypi.org/project/ssl-metrics-meta/,897,ssl-metrics,https://pypi.org/user/ssl-metrics/
simwave,Finite difference 2D/3D acoustic wave propagator.,https://pypi.org/project/simwave/,1759,"hermes.senger,jaimefreire","https://pypi.org/user/hermes.senger/,https://pypi.org/user/jaimefreire/"
gains,Genetic Algorithm for Identifying Novel Structures (GAINS),https://pypi.org/project/gains/,54808,wesleybeckner,https://pypi.org/user/wesleybeckner/
edrn.rdf,EDRN RDF Server,https://pypi.org/project/edrn.rdf/,27090,"mattmann,nutjob","https://pypi.org/user/mattmann/,https://pypi.org/user/nutjob/"
mdla,Multivariate Dictionary Learning Algorithm,https://pypi.org/project/mdla/,1817,sylvain.chevallier,https://pypi.org/user/sylvain.chevallier/
phylodm,Efficient calculation of phylogenetic distance matrices.,https://pypi.org/project/phylodm/,5614,aaronmussig,https://pypi.org/user/aaronmussig/
IoTPy,IoTPy - Python for Streams,https://pypi.org/project/IoTPy/,37311,AssembleSoftware,https://pypi.org/user/AssembleSoftware/
libais,Automatic Identification System decoding - ship tracking,https://pypi.org/project/libais/,135714,goatbar,https://pypi.org/user/goatbar/
opan,OpenAnharmonic,https://pypi.org/project/opan/,7847,bskinn,https://pypi.org/user/bskinn/
rch,A package containing the personal python utilities of Riley Hales,https://pypi.org/project/rch/,11690,rileyhales,https://pypi.org/user/rileyhales/
phytoolkit,An installer toolkit for installing a bunch of common simulation tools,https://pypi.org/project/phytoolkit/,1050,lalluanthoor,https://pypi.org/user/lalluanthoor/
ha7000d,Python interface to Holzworth HA7062D Phase Noise Analyzer,https://pypi.org/project/ha7000d/,5413,ljohnston,https://pypi.org/user/ljohnston/
vcftoolbox,Tools for manipulating and parsing vcf files,https://pypi.org/project/vcftoolbox/,115921,moonso,https://pypi.org/user/moonso/
adjacent-attention-pytorch,Adjacent Attention Network - Pytorch,https://pypi.org/project/adjacent-attention-pytorch/,14535,lucidrains,https://pypi.org/user/lucidrains/
vivarium-public-health,"Components for modelling diseases, risks, and interventions with ``vivarium``",https://pypi.org/project/vivarium-public-health/,74400,"collijk,vivarium","https://pypi.org/user/collijk/,https://pypi.org/user/vivarium/"
bel-repository,A utility for loading data from repositories of BEL documents.,https://pypi.org/project/bel-repository/,43281,cthoyt,https://pypi.org/user/cthoyt/
discovery-connectors,an concrete implementation of the Discovery Foundation Project to hold a libary of connectors,https://pypi.org/project/discovery-connectors/,63244,gigas64,https://pypi.org/user/gigas64/
librecell,Meta-package for the LibreCell suite.,https://pypi.org/project/librecell/,9991,miaou,https://pypi.org/user/miaou/
extrap,"Extra-P, automated performance modeling for HPC applications",https://pypi.org/project/extrap/,5792,"extrap_project_user,meaparvitas","https://pypi.org/user/extrap_project_user/,https://pypi.org/user/meaparvitas/"
moebius_aut,Computing Moebius automorphisms of surfaces,https://pypi.org/project/moebius_aut/,4255,niels-lubbes,https://pypi.org/user/niels-lubbes/
nebfa,Fasta file parser.,https://pypi.org/project/nebfa/,9817,davisp,https://pypi.org/user/davisp/
PySDM,"Pythonic particle-based (super-droplet) warm-rain/aqueous-chemistry cloud microphysics package with box, parcel & 1D/2D prescribed-flow examples in Python, Julia and Matlab",https://pypi.org/project/PySDM/,7137,"prbartman,slayoo","https://pypi.org/user/prbartman/,https://pypi.org/user/slayoo/"
halcon,Python implementation of FALCON: Feedback Adaptive Loop for Content-Based Retrieval,https://pypi.org/project/halcon/,11613,icaoberg,https://pypi.org/user/icaoberg/
SOLARNET,A python 3 client to access the RESTfull API of the SOLARNET Virtual Observatory,https://pypi.org/project/SOLARNET/,45124,bmampaey,https://pypi.org/user/bmampaey/
aws-parallelcluster,AWS ParallelCluster is an AWS supported Open Source cluster management tool to deploy and manage HPC clusters in the AWS cloud.,https://pypi.org/project/aws-parallelcluster/,211978,aws-cfncluster,https://pypi.org/user/aws-cfncluster/
fcmaesray,A multi-node Python 3 gradient-free optimization library.,https://pypi.org/project/fcmaesray/,4431,dietmarwo,https://pypi.org/user/dietmarwo/
motiffinder,A novel approach to motif identification in proteins,https://pypi.org/project/motiffinder/,5975,carlv,https://pypi.org/user/carlv/
hipe4ml,Minimal heavy ion physics environment for Machine Learning,https://pypi.org/project/hipe4ml/,18465,hipe4ml,https://pypi.org/user/hipe4ml/
compas-fea,compas finite element package,https://pypi.org/project/compas-fea/,275,compas-dev,https://pypi.org/user/compas-dev/
azureml-dataprep-native,Contains package for AzureML DataPrep specific native extensions.,https://pypi.org/project/azureml-dataprep-native/,37440692,"dataprepms,microsoft","https://pypi.org/user/dataprepms/,https://pypi.org/user/microsoft/"
pyts2,pyts2: Next-generation utilities and a python library for manipulating timelapses in the TimeStream format,https://pypi.org/project/pyts2/,13294,appfanu,https://pypi.org/user/appfanu/
runable-tempfile,Temporary file that can be opened in external app and deleted afterward,https://pypi.org/project/runable-tempfile/,4386,pazdror,https://pypi.org/user/pazdror/
DeDist,A Python library for estimating decoding distributions,https://pypi.org/project/DeDist/,4990,swkeemink,https://pypi.org/user/swkeemink/
pysparse,Fast sparse matrix library for Python,https://pypi.org/project/pysparse/,33256,dorban,https://pypi.org/user/dorban/
ejtraderCT,Ctrader Fix API,https://pypi.org/project/ejtraderCT/,1338,ejtrader,https://pypi.org/user/ejtrader/
varfish-cli,Command line interface client for VarFish Server.,https://pypi.org/project/varfish-cli/,7719,Manuel.Holtgrewe,https://pypi.org/user/Manuel.Holtgrewe/
superabc,A Python sampling method for obtaining cosmological constraints from SN light curves using Approximate Bayesian Computation.,https://pypi.org/project/superabc/,4064,ejennings,https://pypi.org/user/ejennings/
ReCalc,No project description provided,https://pypi.org/project/ReCalc/,38189,RedKnite,https://pypi.org/user/RedKnite/
MAmotif,An integrative toolkit for detecting cell type-specific regulators,https://pypi.org/project/MAmotif/,13604,haydensun,https://pypi.org/user/haydensun/
tsic,Receive temperature readings from TSic 206/306/506/716 sensor chips on Raspberry Pi,https://pypi.org/project/tsic/,7349,Grillbaer,https://pypi.org/user/Grillbaer/
syncnote,None,https://pypi.org/project/syncnote/,3678,K.y,https://pypi.org/user/K.y/
plibfast,Python wrapper for fast math library,https://pypi.org/project/plibfast/,11339,jacquem,https://pypi.org/user/jacquem/
samyro,An automatic text generator based on RNNs.,https://pypi.org/project/samyro/,19096,trochee,https://pypi.org/user/trochee/
tesserwrap,Basic python bindings to the Tesseract C++ API,https://pypi.org/project/tesserwrap/,156301,GREG.JURMAN,https://pypi.org/user/GREG.JURMAN/
manimalai,AnimalAI clone learning environment,https://pypi.org/project/manimalai/,3102,miyosuda,https://pypi.org/user/miyosuda/
py-xsb,Python interface for XSB,https://pypi.org/project/py-xsb/,21003,gooofy,https://pypi.org/user/gooofy/
drug2ways,Reasoning over polar paths in biological networks for drug discovery applications,https://pypi.org/project/drug2ways/,8429,ddomingof,https://pypi.org/user/ddomingof/
pyMosaic,MOlecular SimulAtion Interchange Conventions,https://pypi.org/project/pyMosaic/,24913,khinsen,https://pypi.org/user/khinsen/
pysca,A tool for automated frequency extraction from photometric time series of heat-driven pulsators.,https://pypi.org/project/pysca/,14553,pysca,https://pypi.org/user/pysca/
